tripduration,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
404,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
451,Ames St at Main St,42.3625,-71.08822,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
658,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
296,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,MIT at Mass Ave / Amherst St,42.3581,-71.093198
782,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
329,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107
314,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
342,Central Square at Mass Ave / Essex St,42.36507,-71.1031,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
477,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
195,Ames St at Main St,42.3625,-71.08822,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
386,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
373,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
295,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
209,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
212,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
131,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
531,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
380,Ames St at Main St,42.3625,-71.08822,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070
339,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687
1266,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687
327,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
881,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945
391,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
346,Central Square at Mass Ave / Essex St,42.36507,-71.1031,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
410,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
1495,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516
530,Ames St at Main St,42.3625,-71.08822,Ames St at Main St,42.3625,-71.08822
182,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107
